,campaign_id,ad_id,impressions,clicks,spent,date,reach,link_external_clicks,join_rate
107,1028520329,158830157,4698,5,"499,13",2023-08-03,4304,1,0
108,1028520329,158830157,2365,2,"261,50",2023-08-04,2270,2,0
109,1028469540,158830077,4776,12,"500,00",2023-08-03,3620,9,0
110,1028469540,158830077,2585,9,"288,08",2023-08-04,2154,8,0
111,1028471356,158829999,4307,7,"499,79",2023-08-03,3694,4,0
112,1028471356,158829999,2193,5,"248,96",2023-08-04,1992,4,0
113,1028471356,158829999,1,0,0,2023-08-05,1,0,0
114,1028456275,158829878,4285,15,"500,00",2023-08-03,3820,5,2
115,1028456275,158829878,1911,5,"251,17",2023-08-04,1807,1,0
116,1028542322,158829740,4975,9,"498,23",2023-08-03,3760,3,0
117,1028542322,158829740,1697,2,"186,02",2023-08-04,1508,0,0
118,1028542322,158829740,1,0,0,2023-08-05,1,0,0
119,1028545963,158518487,4591,10,"499,47",2023-08-03,3330,8,1
120,1028545963,158518487,1797,5,"203,53",2023-08-04,1590,4,0
121,1028456591,158518345,4589,11,"500,00",2023-08-03,3639,5,0
122,1028456591,158518345,1742,2,"205,90",2023-08-04,1621,2,0
123,1028456591,158518345,1,0,0,2023-08-07,1,0,0
124,1028520094,158518258,4498,8,"500,00",2023-08-03,3622,4,1
125,1028520094,158518258,1981,3,"226,87",2023-08-04,1821,3,0
126,1028469540,158336307,4780,3,"499,56",2023-08-03,3121,2,0
127,1028469540,158336307,5,0,0,2023-08-04,5,0,0
128,1028469540,158336307,0,0,"2,64",2023-08-11,0,0,0
129,1028471356,158336032,4709,6,"499,57",2023-08-03,3431,4,0
130,1028471356,158336032,1946,1,"215,28",2023-08-04,1641,1,0
131,1028456275,158335843,4539,7,"499,65",2023-08-03,3381,4,0
132,1028456275,158335843,2118,4,"231,05",2023-08-04,1874,3,0
133,1028542322,158335675,4829,8,"498,75",2023-08-03,3520,3,0
134,1028542322,158335675,1945,7,"212,98",2023-08-04,1789,5,0
135,1028542322,158335675,2,0,0,2023-08-05,2,0,0
136,1028697612,158330669,5665,11,"498,09",2023-08-03,3340,6,0
137,1028697612,158330669,2391,4,"219,15",2023-08-04,1894,4,0
138,1028697612,158330185,5741,18,"498,43",2023-08-03,3336,7,1
139,1028697612,158330185,2400,1,"217,72",2023-08-04,1906,1,0
140,1028431057,158329779,4465,6,"499,26",2023-08-03,3224,2,0
141,1028431057,158329779,1901,5,"233,84",2023-08-04,1685,1,0
142,1028431057,158329779,1,0,0,2023-08-05,1,0,0
143,1028697612,158071864,5451,10,"498,55",2023-08-03,3290,9,0
144,1028697612,158071864,2223,4,"207,87",2023-08-04,1823,3,0
145,1028697612,158069627,5808,10,"499,15",2023-08-03,3457,5,0
146,1028697612,158069627,2389,5,"213,43",2023-08-04,1952,2,0
147,1028697612,158069627,1,0,0,2023-08-05,1,0,0
